age,sex,soc,edu,Reg,inc,colas,restrntEve,juice,cigs,antique,news,enders,friends,simpsons,football
42,1,3,3,3,18,1,1,1,0,1,1,0,0,1,0
66,2,2,5,3,13,1,0,1,1,1,1,0,0,1,0
37,1,3,4,9,14,1,1,0,0,0,0,0,0,0,0
58,1,6,2,3,2,1,1,0,0,1,0,0,0,0,0
65,2,4,1,1,5,0,0,1,1,0,0,0,0,0,0
60,1,3,2,9,13,1,1,1,0,1,1,0,0,1,0
28,1,5,3,7,12,0,1,1,1,0,0,0,0,1,0
35,1,5,3,5,16,1,1,1,1,0,0,0,0,0,0
26,1,4,2,1,14,1,1,1,0,0,0,1,1,1,0
29,2,3,5,2,16,1,1,0,1,1,0,0,0,0,0
58,1,3,2,5,15,1,1,1,1,0,1,0,0,0,0
45,1,3,6,7,17,0,1,1,0,0,1,1,0,0,0
19,1,2,4,1,17,1,1,1,0,0,0,0,1,1,0
66,2,3,1,4,8,0,0,1,0,1,1,0,0,0,0
58,2,2,8,7,17,1,1,1,0,1,1,0,0,0,0
36,2,3,3,7,12,1,0,1,1,0,1,1,0,1,0
39,2,3,3,9,7,1,1,1,1,0,1,1,0,0,0
73,2,2,8,9,5,0,0,1,0,1,0,0,0,0,0
53,1,2,4,7,15,1,1,1,0,0,1,0,0,0,0
22,2,5,3,9,2,1,0,1,1,0,0,0,1,0,0
51,2,3,3,3,17,1,1,1,0,0,1,1,0,0,0
67,2,2,3,9,13,0,1,1,0,1,0,0,0,0,0
55,2,5,2,8,11,0,1,1,0,1,1,0,0,0,0
55,2,4,2,4,8,0,0,1,1,1,0,0,0,0,0
74,2,6,3,1,5,1,1,1,0,1,1,0,0,0,0
43,1,2,9,7,15,0,0,1,0,0,0,0,0,0,0
48,1,5,2,2,18,1,1,1,0,0,0,0,0,1,1
28,2,5,3,7,13,1,1,1,1,0,1,1,0,1,0
52,2,4,2,2,13,1,1,1,0,0,0,0,0,0,1
36,1,2,8,7,19,1,1,1,0,0,1,0,0,1,0
31,2,5,5,11,13,1,1,1,0,0,0,1,1,0,0
56,2,2,5,9,16,0,1,1,0,1,0,0,0,0,0
29,1,5,3,9,3,1,0,1,1,0,0,0,0,0,0
42,2,3,4,7,17,1,1,1,0,0,0,0,0,0,0
37,2,3,3,11,18,1,1,1,0,0,0,1,0,0,0
55,2,4,3,2,14,0,0,0,1,0,1,1,0,0,0
56,2,5,2,4,14,1,1,1,0,0,0,0,0,0,0
49,1,3,8,7,19,0,1,1,1,0,0,0,0,0,0
70,2,1,5,4,18,1,1,1,1,1,1,0,0,0,0
76,2,3,1,9,5,0,0,0,0,1,1,1,0,0,0
77,2,6,1,1,4,0,0,0,0,0,0,0,0,0,0
57,1,4,2,6,14,1,1,1,0,0,1,0,0,0,0
57,2,4,2,1,7,0,1,1,0,1,1,0,0,0,0
69,2,4,5,5,7,0,0,1,0,0,1,1,0,0,0
47,1,3,8,1,13,1,0,1,1,0,1,0,0,1,0
52,2,2,3,2,16,1,1,1,1,0,0,0,0,0,0
42,2,4,4,11,11,0,0,0,1,1,0,1,1,0,0
28,1,4,3,1,14,1,1,1,1,0,0,0,1,0,0
43,2,5,4,4,15,0,0,1,0,1,1,1,0,0,0
47,2,3,3,4,12,1,1,1,1,1,0,0,0,0,0
34,1,4,4,4,12,0,1,1,0,0,0,0,0,0,0
38,1,5,3,10,12,1,1,1,1,0,0,0,0,0,1
25,2,2,4,7,12,1,0,1,0,0,0,1,1,1,0
60,2,4,3,10,10,0,1,1,0,0,1,0,0,0,1
19,2,6,3,10,4,1,1,1,1,0,0,1,1,0,0
70,2,2,2,9,18,0,1,1,0,1,1,0,0,0,0
51,1,3,2,7,7,0,1,0,0,1,1,0,0,1,0
61,2,6,2,2,1,1,0,1,0,1,0,1,0,0,0
55,2,6,3,8,1,0,0,0,1,0,0,1,0,0,0
58,1,6,2,4,6,0,1,1,1,0,0,0,0,0,0
26,2,3,6,4,13,1,0,0,0,0,1,1,0,0,0
28,1,2,9,10,17,1,1,1,0,0,1,0,0,1,0
59,2,2,3,5,11,0,1,1,0,1,0,1,0,0,0
33,1,5,4,7,12,1,0,0,1,0,0,1,0,1,1
29,1,2,5,2,17,1,1,1,1,0,0,0,1,1,1
71,2,2,1,9,8,0,1,1,0,1,0,0,0,0,0
67,1,5,1,1,8,0,1,0,0,1,1,1,0,0,0
70,2,6,1,2,1,0,1,0,0,0,0,1,0,0,0
49,1,3,2,7,14,1,1,1,1,1,1,0,0,0,0
34,1,1,6,11,19,1,1,0,1,0,0,0,1,1,0
21,2,3,8,2,14,1,1,1,1,0,0,1,1,0,1
43,1,5,4,9,14,1,0,1,1,0,0,0,0,0,0
59,1,4,3,3,7,0,1,0,0,1,1,0,0,0,0
62,1,1,9,7,14,0,1,1,0,0,1,0,0,0,0
