SP500,AA,ALD,AXP,BA,CAT,CHV,DD,DIS,EK,ENE,GE,GM,GT,HWP,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,PG,S,TRV,UK,UTX,WMT,XON
-0.005327,0.017857,0.050562,0.01938,0.064189,0.028715,0.007123,-0.005305,-0.078221,0.0725,-0.009488,0.028721,0.089888,-0.017647,-0.111111,-0.098734,-0.003906,-0.120482,0.071823,0.005814,0.048346,-0.027778,-0.028351,-0.137324,-0.056538,0.219998,0.026128,-0.025974,0.00463,-0.033333,-0.007561
0.034432,0.06,0.070089,-0.003831,0.012698,0.069919,0.063649,0.04672,0.046667,0.146853,0.055172,-0.002538,-0.029381,0.021557,0.029514,0.033708,0.028157,0.123562,0.030928,0.00289,0.045777,0.051952,0.034483,0.040816,-0.007692,0.095262,0.098765,-0.003333,0.056682,0.016059,0.007162
-0.009988,-0.106489,-0.025084,0.103846,-0.031546,-0.039514,0.049664,-0.043702,-0.038217,-0.026639,0.021898,-0.017761,-0.109333,0.026471,-0.074199,-0.081967,-0.074856,-0.033742,0.053,-0.022017,-0.034884,-0.061574,-0.045641,-0.02651,-0.018088,-0.011468,0.076056,0.047297,-0.024176,-0.043689,0.001912
0.019393,0.013035,-0.017153,-0.094077,-0.022801,0.160127,-0.007673,0.024194,0.140728,0.058947,-0.032143,0.011734,0.140719,0.025788,0.076782,0.095238,-0.012448,0.069841,-0.089314,0.026627,0.110843,0.008505,0.171662,0.044715,0.148632,0.064965,-0.075916,0.019355,0.117117,0.071066,-0.001908
-0.012911,0.024265,-0.002932,-0.027132,0.036667,-0.068306,-0.095361,0.011864,-0.072674,-0.023857,-0.075646,0.014175,0.111811,-0.002235,0.001698,0.17663,0.128908,0.04178,-0.007005,-0.027781,0.019219,0.058602,0.04186,0.066148,0.046083,-0.045316,-0.090652,0.066456,0.005242,0.08654,-0.02914
0.010091,0.001805,0.110721,-0.015936,0.119741,0.043988,0.002878,0.010471,0.068965,-0.075975,-0.068273,0.073393,0.040284,0.02809,0.074576,0.048724,0.014981,0.028653,-0.01157,0.0625,-0.027719,-0.002294,0.004911,0.011825,0.004405,-0.027586,-0.028125,0.071856,0.00202,-0.126638,0.005976
0.032501,0.146306,-0.004747,0.064777,0,0.171629,0.071736,0.163212,0.109971,-0.015022,0.133621,0.027414,0.116173,0.057377,0.079114,0,0.108856,-0.05571,0.034234,-0.084034,0.065789,-0.013793,0.083146,0.061818,0.049298,0.037825,0.083601,0.139665,0.086694,0.06,0.053465
-0.030045,-0.048973,-0.024928,-0.103448,0.086705,0.040816,-0.062383,-0.043385,0.015873,-0.016431,-0.030418,-0.022042,-0.045714,-0.061499,0.06305,-0.059735,-0.027687,-0.046962,-0.050523,0.042813,-0.000288,-0.009277,-0.070539,-0.113014,-0.033613,-0.161276,-0.115727,-0.056373,0.015955,0.070755,-0.013609
-0.045746,-0.048173,-0.04419,-0.051282,-0.048128,0.036909,-0.030303,-0.004695,-0.125,0.031977,-0.037255,-0.044176,-0.075107,-0.104972,-0.091034,0.033097,-0.065404,-0.05919,-0.068917,-0.042346,-0.061856,-0.060498,-0.083661,-0.072432,-0.069565,-0.054795,-0.050505,-0.057592,-0.086397,-0.086608,-0.030829
0.011531,-0.050611,-0.054795,0.076577,0.011236,-0.020912,0.059524,0.07783,0.01369,-0.064789,-0.028689,-0.0475,0.053364,-0.037037,-0.022831,0.052632,-0.038674,0.096026,-0.01992,0.027692,0.054945,-0.010101,0.076543,-0.004202,0.068878,0.089855,-0.014184,0.172222,0.026157,-0.024155,0
