drefus,fidel,keystne,Putnminc,scudinc,windsor,eqmrkt,valmrkt,tbill
-0.00855,-0.01235,-0.03655,0.00123,0.00062,-0.03392,-0.03255,-0.00811,0.0051
0.04694,0.09688,0.18157,-0.00249,0.03556,0.05899,0.12126,0.05458,0.0064
-0.03036,-0.01872,-0.00688,-0.00875,-0.02831,-0.02255,-0.04895,-0.02951,0.007
0.07211,0.03443,0.097,0.04414,0.045,0.09769,0.08748,0.05197,0.0068
0.00177,0,-0.01684,-0.00604,-0.00239,-0.01978,-0.00038,0.00025,0.0065
-0.10302,-0.14395,-0.21627,-0.01854,-0.10552,-0.14455,-0.18324,-0.11842,0.0056
0.04654,0.00796,0.01913,0.01197,0.01763,0.01997,-0.03948,0.0126,0.0064
-0.01892,-0.02028,-0.01609,0.00127,-0.00933,0.06777,0.14355,0.00169,0.0063
0.02233,0.01252,0.00273,0.00633,0,0.02116,0.00353,0.00331,0.0058
-0.04938,-0.03661,-0.07337,-0.03899,-0.03121,-0.02072,-0.00308,-0.02311,0.0056
-0.04296,-0.03208,-0.05865,-0.03338,-0.04132,-0.03667,-0.06013,-0.04427,0.0075
-0.04937,-0.02244,-0.06854,-0.01105,-0.04383,-0.06003,-0.07623,-0.0385,0.0075
-0.03204,-0.03234,-0.0602,-0.03631,-0.01466,-0.0414,-0.03238,-0.01977,0.006
-0.04224,-0.10135,-0.11744,-0.01667,-0.06421,-0.02326,-0.04602,-0.07011,0.007
-0.06363,-0.07079,-0.08065,-0.02108,-0.07699,-0.07653,-0.08993,-0.08618,0.006
-0.0718,-0.15429,-0.15351,0.01077,-0.05963,-0.09024,-0.08005,-0.11013,0.0081
0.17127,0.20992,0.19689,0.0586,0.12195,0.1498,0.10217,0.16422,0.0051
-0.02019,-0.03659,-0.02597,0.00884,-0.02696,-0.01633,-0.05477,-0.04201,0.0054
-0.00121,-0.04781,-0.07111,-0.00219,0.00091,-0.03137,-0.08394,-0.02489,0.007
0.08981,0.09662,0.18182,0.0568,0.11182,0.18667,0.33313,0.13888,0.0058
0.03737,0.0791,0.04453,0.01556,0.02126,0.04815,0.04217,0.06006,0.0043
0.02838,0.04112,0.0814,-0.02228,0.00566,0.05819,0.09276,0.02954,0.0041
0.05096,0.08872,0.05376,-0.00784,0.02896,0.06078,0.0277,0.04703,0.0044
0.05183,0.04311,0.09524,0.03226,0.04691,0.02504,0.06899,0.0544,0.0044
0.05217,0.04738,0.03416,0.03125,0.04902,0.07598,0.08132,0.05186,0.0041
-0.04316,-0.08037,-0.06907,-0.00482,-0.05464,-0.02648,-0.02043,-0.06271,0.0048
-0.01738,-0.01204,-0.06129,-0.0113,-0.01293,-0.03368,-0.05209,-0.0212,0.0048
-0.02652,-0.03019,-0.04811,-0.00857,-0.03191,-0.01743,-0.04176,-0.0367,0.0053
0.03633,0.03113,0.03249,0.05115,0.03939,0.04502,0.01904,0.05829,0.0056
0.01371,0.0143,0.01049,-0.00281,0.01779,0.03075,0.02428,0.03169,0.0041
0.01256,-0.00392,-0.01038,0.03305,0,0.00778,-0.00504,-0.01097,0.0048
0.10401,0.13797,0.18182,0.04722,0.10433,0.15573,0.22065,0.12612,0.0047
0.0079,0.00329,0.07101,0.01061,0.0182,0.0412,0.11021,0.00371,0.0034
0.00871,0.02717,0.01658,0.01444,0.00972,0.02139,0.00538,0.02897,0.004
-0.01641,-0.01733,-0.03804,0.00841,-0.00344,-0.01885,-0.01891,-0.01101,0.0042
0.00088,0.00093,-0.01695,-0.01178,-0.00069,0.01194,-0.0243,-0.00836,0.0037
0.05644,0.06444,0.06897,0.00927,0.04948,0.05579,0.03621,0.04613,0.0043
-0.00084,-0.02962,-0.01882,0.0164,-0.01328,0.00305,-0.00354,-0.00799,0.0047
-0.00924,-0.02828,-0.03878,0.02635,-0.00337,-0.00304,-0.01708,-0.0002,0.0042
0.03305,0.01755,0.03458,0.02182,0.01977,0.02846,0.02133,0.02487,0.0044
-0.02051,-0.03495,-0.05293,0.00942,-0.02206,-0.01976,-0.0265,-0.02174,0.0041
0.02525,0.01693,0.03824,0.01652,0.02119,0.04325,0.0259,0.00472,0.004
0.06158,0.04718,0.06232,0.02063,0.04487,0.07988,0.10243,0.06106,0.004
-0.02243,-0.03732,-0.01067,-0.0025,-0.02277,-0.0309,0.0279,-0.03771,0.0036
-0.02263,-0.03223,-0.04043,0.00125,-0.01931,-0.01739,-0.01155,-0.01644,0.0035
-0.01286,-0.00097,-0.00843,0.00625,-0.00343,-0.0118,0.00327,-0.00996,0.0038
0.02433,0.00628,0.01983,0.00435,0.01861,0.01194,0.01246,0.00378,0.0038
-0.00853,-0.00528,0.00556,0.01387,0.00812,0.001,-0.00398,-0.01194,0.0037
0.04561,0.05599,0.1105,0.01493,0.02456,0.05289,0.06406,0.05055,0.004
-0.01482,-0.02148,-0.03535,0.00184,0.00133,-0.01043,-0.00165,-0.01506,0.0042
