,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
20000531,0.027125,-0.0118,-0.013191,-0.02632,-0.034581,-0.102385,0.010791,0.004515,-0.000153,-0.008787,-0.01572,0.030164
20000630,-0.021426,-0.08191,-0.022519,0.09459,0.051082,0.074141,0.043891,0.003625,0.020785,0.02524,0.0197,-0.043362
20000731,0.003623,0.02416,-0.021053,0.0406,-0.022374,-0.008288,-0.0625,0.003756,0.009625,0.010411,-0.0157,0.020134
20000831,0.057762,0.04719,0.077419,0.03659,0.073356,0.077435,0.087273,0.004462,0.015767,0.010335,0.06534,0.069079
20000929,0.021587,0.11612,-0.053244,-0.02353,-0.051257,-0.083747,-0.06466,0.004585,0.003393,0.005564,-0.05481,-0.011077
20001031,0.031987,-0.01087,0.017405,0.00555,-0.012353,-0.059921,-0.082241,0.003708,0.006497,-0.000799,-0.00468,0.023024
20001130,0.014682,0.03454,-0.076205,-0.02469,-0.088758,-0.154073,0.051948,0.004832,0.01956,0.011959,-0.07465,-0.031022
20001229,0.071398,0.07739,0.036582,0.04266,0.015876,-0.062114,0.096228,0.0048,0.020372,0.017899,-0.00515,0.094146
20010131,0.012085,-0.03662,0.041399,0.142,0.016306,0.043613,0.00578,0.004078,0.014631,0.016527,0.04446,0.039895
20010228,-0.010448,0.02778,-0.06047,-0.01751,-0.088565,-0.19951,0.054023,0.003191,0.009657,0.008595,-0.09539,-0.032704
20010330,-0.018658,-0.06899,-0.048153,-0.01961,-0.069164,-0.097422,-0.08506,0.003615,0.003819,0.006955,-0.05599,-0.011053
20010430,0.044892,0.03896,0.080201,-0.01554,0.094118,0.14303,0.143027,0.00317,-0.008977,-0.003057,0.07044,0.060487
20010531,0.025185,0.01029,0.006381,0.09488,0.008678,-0.017574,0.054223,0.003016,0.003902,0.00625,0.00833,0.014879
20010629,0.000159,0.01019,-0.015159,0.026,-0.015897,-0.049353,-0.019782,0.002005,0.00266,0.003084,-0.02383,-0.010326
