"official","gender","age"
160.97,"M",34
168,"M",31
170.78,"M",28
176.17,"M",36
205.72,"M",36
157.67,"M",27
166.58,"M",25
259.7,"M",42
169.8,"M",39
159.58,"M",25
172.3,"M",32
169,"M",23
181.27,"M",21
205.1,"M",31
224.93,"M",29
171.2,"M",43
166.47,"M",43
166.32,"M",35
173.65,"M",41
169.2,"M",42
171.72,"M",41
166.63,"M",26
163.83,"M",26
173.5,"M",37
176.72,"M",21
170.25,"M",33
204.93,"M",29
166.4,"M",36
173.62,"M",27
170.07,"M",33
165.4,"M",31
172.82,"M",24
162.12,"M",40
173.7,"M",29
175.93,"M",38
176.28,"M",31
204.5,"M",43
162,"M",31
189.15,"M",32
146.45,"M",24
187,"M",29
178.75,"M",46
164.85,"M",38
160.3,"M",41
185.7,"M",40
186.35,"M",31
163.87,"M",34
163.93,"M",46
172.38,"M",27
170.58,"M",35
166.23,"M",46
184.02,"M",44
162.63,"M",39
178.22,"M",43
179.28,"M",44
167.93,"M",30
170.95,"M",20
198.27,"M",37
166.38,"M",37
253.05,"M",28
242.08,"M",32
162.27,"M",50
165.85,"M",30
164.12,"M",33
171.4,"M",30
161.22,"M",26
168.95,"M",31
180.9,"M",21
162.38,"M",37
171.37,"M",52
174.85,"M",36
174.28,"M",34
197.48,"M",28
160.95,"M",36
164.3,"M",29
171.93,"M",34
167.85,"M",34
165.7,"M",40
172.4,"M",41
184.58,"M",42
171.9,"M",21
165.92,"M",31
178.6,"M",37
162.37,"M",31
164.65,"M",34
208.9,"M",42
179.8,"M",30
171.67,"M",27
194.97,"M",38
176.7,"M",38
169.65,"M",32
188.83,"M",36
166.22,"M",34
178.13,"M",21
171.78,"M",46
169.55,"M",25
166.03,"M",32
172.98,"M",28
169.77,"M",44
176.83,"M",45
187.8,"M",29
169.7,"M",36
169.17,"M",36
167.9,"M",45
178.7,"M",41
173.17,"M",35
169.72,"M",23
176,"M",38
176.15,"M",45
177.68,"M",46
254.52,"M",26
173.45,"M",27
188.75,"M",29
182.42,"M",40
169.88,"M",31
177.42,"M",32
176.62,"M",47
171.92,"M",39
257.63,"M",51
177.88,"M",48
175.8,"M",38
167.58,"M",43
176.52,"M",32
172.37,"M",41
173.57,"M",24
178.43,"M",27
179.27,"M",30
175.37,"M",37
175.63,"M",28
174.9,"M",29
158.12,"M",28
179.63,"M",46
181.97,"M",45
166.62,"M",44
193.9,"M",28
170.17,"M",44
255.78,"M",32
183.78,"M",35
174.57,"M",37
197.37,"M",35
172.55,"M",40
169.8,"M",27
171.37,"M",42
200.12,"M",35
178.55,"M",30
172.5,"M",31
202.23,"M",25
178.07,"M",40
176.08,"M",23
169.7,"M",39
178.43,"M",33
179.53,"M",39
201.43,"M",44
297.87,"M",38
172.17,"M",43
173.67,"M",38
175.52,"M",32
177.62,"M",24
174.52,"M",23
178.17,"M",31
179.93,"M",46
168.28,"M",34
169.62,"M",37
188.2,"M",39
170.33,"M",32
178.45,"M",48
169.03,"M",37
188.85,"M",39
176.75,"M",35
159.4,"M",36
195.1,"M",36
195.52,"M",23
164.45,"M",28
166.55,"M",25
168.97,"M",38
169.1,"M",39
176.65,"M",28
168.5,"M",35
167.92,"M",28
171.48,"M",29
174.45,"M",36
174.42,"M",36
169.67,"M",37
164.68,"M",37
160.3,"M",41
182.17,"M",33
183.02,"M",44
190.27,"M",28
191.3,"M",37
174.27,"M",44
167.72,"M",29
181.37,"M",31
172.62,"M",31
173.75,"M",46
186.45,"M",29
197.2,"M",49
169.67,"M",25
169.9,"M",30
183.68,"M",33
200.95,"M",36
168.98,"M",39
179.87,"M",32
168.23,"M",30
168.33,"M",26
176.97,"M",28
175.78,"M",46
164.9,"M",27
193.1,"M",34
168.77,"M",33
190.25,"M",43
172.68,"M",40
178.52,"M",53
175.77,"M",38
166.25,"M",32
175.87,"M",40
168.55,"M",49
176.88,"M",31
182.73,"M",41
178.32,"M",40
176.9,"M",24
175,"M",51
183.7,"M",42
167.25,"M",39
156.42,"M",26
167.52,"M",29
201.57,"M",42
199.17,"M",49
168.62,"M",43
205.75,"M",27
179.52,"M",42
167.3,"M",26
177.67,"M",47
187.2,"M",28
177.5,"M",40
178.95,"M",31
168.02,"M",29
168.35,"M",34
183,"M",36
186.17,"M",41
179.1,"M",38
169.83,"M",42
231.3,"M",30
212.58,"M",20
173.53,"M",43
177.72,"M",28
169.02,"M",21
173,"M",38
192.47,"M",28
184.08,"M",39
173.2,"M",30
177.18,"M",50
174.15,"M",26
172.63,"M",32
168.97,"M",44
175.35,"M",32
165.97,"M",22
169.5,"M",40
186.67,"M",35
175.4,"M",44
193.32,"M",30
176.42,"M",51
175.3,"M",42
160.82,"M",44
174.43,"M",27
183.82,"M",26
163.48,"M",29
177.83,"M",53
182.3,"M",39
172.72,"M",46
172.43,"M",45
178,"M",44
200.28,"M",40
181.18,"M",32
168.15,"M",27
156.33,"M",34
171.88,"M",38
171.77,"M",40
183.38,"M",29
181.45,"M",38
182.78,"M",31
173.32,"M",37
171.42,"M",41
187.93,"M",42
167.78,"M",44
179.38,"M",35
181.8,"M",25
176.95,"M",42
202.55,"M",26
178.57,"M",26
165.38,"M",28
170,"M",48
178.98,"M",34
194.22,"M",35
173.95,"M",35
195.35,"M",31
170.18,"M",43
184.53,"M",31
173.9,"M",37
169.35,"M",36
174.1,"M",33
178.42,"M",28
224.9,"M",31
182.6,"M",35
186.8,"M",44
187.95,"M",41
186.67,"M",32
175.15,"M",27
205.28,"M",21
188.95,"M",28
168.28,"M",54
175.3,"M",41
157.95,"M",22
178.68,"M",44
178.98,"M",44
187.8,"M",34
176.93,"M",46
218.62,"M",37
173.53,"M",30
171.28,"M",44
177.83,"M",39
178.38,"M",32
177.52,"M",23
163.78,"M",30
212.83,"M",24
179.32,"M",43
245.95,"M",45
193.05,"M",28
174.53,"M",22
176.43,"M",45
174.67,"M",25
168.52,"M",45
235.15,"M",36
171.43,"M",44
187.08,"M",45
180.35,"M",36
168.32,"M",44
190.25,"M",42
178.2,"M",22
175.15,"M",46
177.28,"M",23
171.92,"M",25
166.65,"M",42
173.57,"M",39
181.22,"M",26
173.03,"M",49
173.53,"M",28
171.68,"M",31
186.32,"M",46
176.52,"M",28
178.28,"M",52
174.17,"M",22
170.5,"M",42
162.2,"M",22
201.17,"M",38
188.77,"M",32
189.53,"M",46
187.38,"M",44
208.9,"M",21
172.33,"M",42
176.93,"M",50
177.02,"M",23
183.8,"M",37
175.42,"M",26
179.68,"M",32
176.25,"M",41
177.6,"M",42
182.07,"M",43
171.6,"M",32
195.27,"M",33
193.55,"M",28
176.52,"M",48
182.75,"M",42
194.22,"M",39
187,"M",28
175.23,"M",35
189.3,"M",50
197.5,"M",53
266.12,"M",23
190.22,"M",24
192.33,"M",40
178.03,"M",24
183.02,"M",41
196.47,"M",42
165.07,"M",34
184.3,"M",42
174.2,"M",43
185.77,"M",47
177.28,"M",48
178.55,"M",25
191.18,"M",37
238.75,"M",27
174.78,"M",52
288.85,"M",47
182.78,"M",38
180.92,"M",45
195.25,"M",36
194,"M",46
202.4,"M",39
177.45,"M",42
174.32,"M",43
194.32,"M",32
173.67,"M",45
200.82,"M",33
176.63,"M",45
179.72,"M",42
179.98,"M",49
167.52,"M",35
180.47,"M",20
177.58,"M",37
206.18,"M",40
174.98,"M",35
183,"M",51
177.6,"M",38
179.13,"M",37
202.48,"M",27
163.73,"M",36
175.02,"M",40
175.43,"M",39
206.03,"M",31
194.47,"M",41
171.65,"M",41
232.37,"M",47
174.63,"M",44
184.6,"M",20
194.78,"M",43
286,"M",32
185.03,"M",45
177.67,"M",35
185.8,"M",25
176.5,"M",46
171.37,"M",32
246.98,"M",30
198.4,"M",36
176.7,"M",31
180.78,"M",48
169.87,"M",31
188.25,"M",34
175.93,"M",35
174.97,"M",47
253.2,"M",46
307.25,"M",44
186.02,"M",25
195.37,"M",48
179.3,"M",25
170.85,"M",33
182.42,"M",37
182.22,"M",43
218.35,"M",38
277.8,"M",41
181.18,"M",47
169.32,"M",50
186.72,"M",28
181.38,"M",36
169.02,"M",42
176.07,"M",32
210.2,"M",32
195.4,"M",37
187.82,"M",42
197.67,"M",27
182.73,"M",45
187.45,"M",33
178.08,"M",30
195.67,"M",42
171.8,"M",38
192.15,"M",40
172.67,"M",25
175.7,"M",39
169.22,"M",23
176.98,"M",37
172.32,"M",38
186.98,"M",31
189.25,"M",44
188.27,"M",35
179.47,"M",30
181.87,"M",31
178.53,"M",38
177.43,"M",36
201.18,"M",23
220.4,"M",27
172.88,"M",36
176.8,"M",43
224.85,"M",22
168.8,"M",43
183.67,"M",21
176.53,"M",32
198.1,"M",26
174.75,"M",34
178.97,"M",39
173.1,"M",31
185.08,"M",29
243.23,"M",42
177.83,"M",48
192.73,"M",30
178.37,"M",33
198.17,"M",30
178.73,"M",39
179.9,"M",33
183.47,"M",39
173.67,"M",38
182.87,"M",30
177.23,"M",43
174.82,"M",29
178.68,"M",42
178.97,"M",40
178.85,"M",34
164.33,"M",38
175.75,"M",41
181.5,"M",33
176.87,"M",38
177.08,"M",34
172.58,"M",44
181.27,"M",33
182.32,"M",27
191.97,"M",33
179.28,"M",42
179.1,"M",25
176.82,"M",53
189.88,"M",32
192.08,"M",33
179.77,"M",40
183.98,"M",35
178.27,"M",33
179.28,"M",27
179.42,"M",32
176.1,"M",51
175.75,"M",35
178.62,"M",28
175.62,"M",29
252.37,"M",23
178.92,"M",34
177.33,"M",45
194.97,"M",27
160.35,"M",25
177.38,"M",32
225.8,"M",44
187.2,"M",40
188.78,"M",31
215.67,"M",24
177.98,"M",22
174.65,"M",38
179.87,"M",31
211.42,"M",24
185.83,"M",33
198.3,"M",26
166.65,"M",21
172.6,"M",46
182.1,"M",46
189.47,"M",37
193.68,"M",31
179.9,"M",29
178.67,"M",39
181.75,"F",24
190.68,"M",37
199.42,"M",44
176.02,"M",31
172.3,"M",41
189.27,"M",38
189.67,"M",40
196.82,"M",25
197.72,"M",43
199.9,"M",37
171.77,"M",32
184,"M",42
183.17,"M",39
186.98,"M",43
177.87,"M",38
179.62,"M",37
203.83,"M",37
175.45,"M",42
219.53,"M",73
237.38,"M",39
189.2,"M",38
198.1,"M",36
183,"M",35
196.53,"M",44
175.38,"M",40
181.72,"M",33
186.65,"M",43
173.5,"M",27
191.02,"F",34
177.73,"M",31
177.77,"M",28
174.52,"M",37
175.62,"M",35
194.1,"M",22
166.87,"M",31
188.73,"M",28
176.4,"M",38
179.32,"M",34
179.67,"M",28
172.67,"M",40
179.9,"M",40
203.83,"M",44
184.32,"M",37
209.67,"M",32
177.13,"M",42
178.12,"M",38
221.03,"M",26
189.88,"M",47
175.7,"M",40
197.15,"M",36
189.97,"M",47
190.28,"M",36
186.57,"M",36
177.13,"M",41
196.97,"M",42
179.02,"M",47
175.03,"M",46
179.88,"F",26
174.58,"M",30
181.45,"M",31
191.35,"M",30
159.62,"M",28
193.1,"M",37
186.43,"M",45
208.97,"M",37
178.57,"M",43
171.35,"M",51
178.97,"F",37
177.95,"F",39
175.9,"M",20
200.43,"M",27
181.45,"M",48
182.75,"M",32
172,"M",29
183.03,"M",41
176.95,"M",19
176.88,"M",47
169.93,"M",26
179.03,"M",37
221.55,"F",36
194.85,"M",25
200.23,"M",29
175.82,"M",31
193,"M",21
190.22,"M",40
176.92,"M",49
193.97,"M",37
183.57,"M",45
271.77,"M",53
192.55,"M",29
186.72,"M",45
188.23,"M",43
207.67,"M",35
186.32,"M",34
176.03,"M",24
182.53,"M",43
175.1,"M",48
200.2,"M",39
269.55,"M",37
192.47,"M",37
191.23,"M",46
182.6,"M",34
186.2,"M",36
186.1,"M",41
176.48,"M",38
177.82,"M",27
171.87,"M",32
171.1,"M",36
200.93,"M",20
192.08,"M",41
167.97,"M",40
179.92,"M",26
177.28,"M",29
182.42,"M",22
170.95,"M",34
181.4,"M",42
178.93,"M",22
193.73,"F",38
178.4,"F",27
208.55,"M",33
186.67,"M",28
188.07,"M",43
185.58,"M",32
185.57,"M",46
196.52,"M",21
187.97,"M",52
257.3,"M",31
186.58,"M",36
207.25,"M",30
195.25,"M",39
178.37,"M",27
235.62,"M",30
185.83,"M",44
180.68,"M",43
216.88,"M",48
203.33,"M",49
186,"M",34
180.2,"M",48
178.37,"M",46
254.88,"M",38
188.83,"M",56
189.7,"M",36
190.2,"M",50
186.92,"M",52
183.93,"M",28
216.25,"M",33
195.42,"M",35
189.33,"M",30
192.42,"M",50
182.8,"M",54
213.68,"M",43
186.57,"M",42
193.32,"M",42
184.3,"M",44
177.68,"M",34
185.08,"M",30
187.38,"M",48
191.33,"M",33
244.88,"M",34
177.65,"M",46
189.65,"M",33
181.95,"M",38
187.4,"M",50
201.75,"M",28
180.48,"M",43
172.07,"M",46
180.5,"M",39
186.63,"M",34
187.37,"M",40
194.9,"M",37
190,"M",55
187.37,"M",26
175.2,"M",35
238.88,"M",28
174.62,"F",36
177.07,"M",30
185.7,"M",28
181.72,"M",38
175.68,"M",29
212.3,"M",20
187.12,"M",50
185.48,"M",51
178.43,"M",29
192.13,"F",28
215.95,"M",41
211.88,"M",33
190.4,"M",40
199.22,"M",43
194.82,"M",34
175.7,"M",26
185.35,"M",39
198.55,"M",47
237.62,"M",28
187.88,"M",53
186.42,"M",32
183.83,"M",41
191.38,"M",33
192.73,"F",39
183.22,"M",45
190.5,"M",48
233.52,"M",35
174,"M",24
180.62,"M",35
218.18,"M",29
186.4,"M",23
190.27,"M",42
195.55,"M",45
189.15,"M",40
194.82,"M",37
189.35,"M",32
233.07,"M",44
183.53,"M",35
181.7,"M",44
194.83,"M",36
222.4,"M",58
221.6,"M",51
193.87,"M",34
178.87,"M",40
176.33,"M",32
216.55,"M",41
182.48,"M",36
181.4,"M",30
183.75,"M",32
181.68,"M",42
182.32,"M",26
187.23,"M",21
214.18,"M",43
185.18,"M",36
182.77,"M",33
188.65,"M",46
192.08,"M",41
182.62,"M",31
183.88,"M",27
189.08,"M",37
185.25,"M",40
178.93,"M",40
167.53,"M",26
188.57,"M",44
184.57,"M",36
179.68,"M",37
175.95,"M",50
196.28,"M",30
204.43,"M",23
193.9,"M",49
179.02,"M",48
192.43,"M",47
204.62,"F",29
196.88,"F",37
178.02,"M",46
188.32,"M",33
196.7,"M",32
195.65,"M",34
208.43,"M",41
190.62,"M",29
181.87,"M",33
198.72,"M",25
187.8,"M",38
177.33,"M",32
186.95,"M",36
182.33,"M",43
177.9,"M",28
189.4,"M",32
191.77,"M",26
204.37,"M",31
196.98,"M",35
