Date,Open,High,Low,Close,Volume,Adj Close
1/3/2002,1154.670044,1165.27002,1154.01001,1165.27002,1398900000,1165.27002
1/4/2002,1165.27002,1176.550049,1163.420044,1172.51001,1513000000,1172.51001
1/7/2002,1172.51001,1176.969971,1163.550049,1164.890015,1308300000,1164.890015
1/8/2002,1164.890015,1167.599976,1157.459961,1160.709961,1258800000,1160.709961
1/9/2002,1160.709961,1174.26001,1151.890015,1155.140015,1452000000,1155.140015
1/10/2002,1155.140015,1159.930054,1150.849976,1156.550049,1299000000,1156.550049
1/11/2002,1156.550049,1159.410034,1145.449951,1145.599976,1211900000,1145.599976
1/14/2002,1145.599976,1145.599976,1138.150024,1138.410034,1286400000,1138.410034
1/15/2002,1138.410034,1148.810059,1136.880005,1146.189941,1386900000,1146.189941
1/16/2002,1146.189941,1146.189941,1127.48999,1127.569946,1482500000,1127.569946
1/17/2002,1127.569946,1139.27002,1127.569946,1138.880005,1380100000,1138.880005
1/18/2002,1138.880005,1138.880005,1124.449951,1127.579956,1333300000,1127.579956
1/22/2002,1127.579956,1135.26001,1117.910034,1119.310059,1311600000,1119.310059
1/23/2002,1119.310059,1131.939941,1117.430054,1128.180054,1479200000,1128.180054
1/24/2002,1128.180054,1139.5,1128.180054,1132.150024,1552800000,1132.150024
1/25/2002,1132.150024,1138.310059,1127.819946,1133.280029,1345100000,1133.280029
1/28/2002,1133.280029,1138.630005,1126.660034,1133.060059,1186800000,1133.060059
1/29/2002,1133.060059,1137.469971,1098.73999,1100.640015,1812000000,1100.640015
1/30/2002,1100.640015,1113.790039,1081.660034,1113.569946,2019600000,1113.569946
1/31/2002,1113.569946,1130.209961,1113.300049,1130.199951,1557000000,1130.199951
2/1/2002,1130.199951,1130.199951,1118.51001,1122.199951,1367200000,1122.199951
2/4/2002,1122.199951,1122.199951,1092.25,1094.439941,1437600000,1094.439941
2/5/2002,1094.439941,1100.959961,1082.579956,1090.02002,1778300000,1090.02002
2/6/2002,1090.02002,1093.579956,1077.780029,1083.51001,1665800000,1083.51001
2/7/2002,1083.51001,1094.030029,1078.439941,1080.170044,1441600000,1080.170044
2/8/2002,1080.170044,1096.300049,1079.910034,1096.219971,1371900000,1096.219971
2/11/2002,1096.219971,1112.01001,1094.680054,1111.939941,1159400000,1111.939941
2/12/2002,1111.939941,1112.680054,1102.97998,1107.5,1094200000,1107.5
2/13/2002,1107.5,1120.560059,1107.5,1118.51001,1215900000,1118.51001
2/14/2002,1118.51001,1124.719971,1112.300049,1116.47998,1272500000,1116.47998
2/15/2002,1116.47998,1117.089966,1103.22998,1104.180054,1359200000,1104.180054
2/19/2002,1104.180054,1104.180054,1082.23999,1083.339966,1189900000,1083.339966
2/20/2002,1083.339966,1098.319946,1074.359985,1097.97998,1438900000,1097.97998
2/21/2002,1097.97998,1101.5,1080.23999,1080.949951,1381600000,1080.949951
2/22/2002,1080.949951,1093.930054,1074.390015,1089.839966,1411000000,1089.839966
2/25/2002,1089.839966,1112.709961,1089.839966,1109.430054,1367400000,1109.430054
2/26/2002,1109.430054,1115.050049,1101.719971,1109.380005,1309200000,1109.380005
2/27/2002,1109.380005,1123.060059,1102.26001,1109.890015,1393800000,1109.890015
2/28/2002,1109.890015,1121.569946,1106.72998,1106.72998,1392200000,1106.72998
3/1/2002,1106.72998,1131.790039,1106.72998,1131.780029,1456500000,1131.780029
3/4/2002,1131.780029,1153.839966,1130.930054,1153.839966,1594300000,1153.839966
3/5/2002,1153.839966,1157.73999,1144.780029,1146.140015,1549300000,1146.140015
3/6/2002,1146.140015,1165.290039,1145.109985,1162.77002,1541300000,1162.77002
3/7/2002,1162.77002,1167.939941,1150.689941,1157.540039,1517400000,1157.540039
3/8/2002,1157.540039,1172.76001,1157.540039,1164.310059,1412000000,1164.310059
3/11/2002,1164.310059,1173.030029,1159.579956,1168.26001,1210200000,1168.26001
3/12/2002,1168.26001,1168.26001,1154.339966,1165.579956,1304400000,1165.579956
3/13/2002,1165.579956,1165.579956,1151.01001,1154.089966,1354000000,1154.089966
3/14/2002,1154.089966,1157.829956,1151.079956,1153.040039,1208800000,1153.040039
3/15/2002,1153.040039,1166.47998,1153.040039,1166.160034,1493900000,1166.160034
3/18/2002,1166.160034,1172.72998,1159.140015,1165.550049,1169500000,1165.550049
3/19/2002,1165.550049,1173.939941,1165.550049,1170.290039,1255000000,1170.290039
3/20/2002,1170.290039,1170.290039,1151.609985,1151.849976,1304900000,1151.849976
3/21/2002,1151.849976,1155.099976,1139.47998,1153.589966,1339200000,1153.589966
3/22/2002,1153.589966,1156.48999,1144.599976,1148.699951,1243300000,1148.699951
3/25/2002,1148.699951,1151.040039,1131.869995,1131.869995,1057900000,1131.869995
3/26/2002,1131.869995,1147,1131.609985,1138.48999,1223600000,1138.48999
3/27/2002,1138.48999,1146.949951,1135.329956,1144.579956,1180100000,1144.579956
3/28/2002,1144.579956,1154.449951,1144.579956,1147.390015,1147600000,1147.390015
4/1/2002,1147.390015,1147.839966,1132.869995,1146.540039,1050900000,1146.540039
4/2/2002,1146.540039,1146.540039,1135.709961,1136.76001,1176700000,1136.76001
4/3/2002,1136.76001,1138.849976,1119.680054,1125.400024,1219700000,1125.400024
4/4/2002,1125.400024,1130.449951,1120.060059,1126.339966,1283800000,1126.339966
4/5/2002,1126.339966,1133.310059,1119.48999,1122.72998,1110200000,1122.72998
4/8/2002,1122.72998,1125.410034,1111.790039,1125.290039,1095300000,1125.290039
4/9/2002,1125.290039,1128.290039,1116.72998,1117.800049,1235400000,1117.800049
4/10/2002,1117.800049,1131.76001,1117.800049,1130.469971,1447900000,1130.469971
4/11/2002,1130.469971,1130.469971,1102.420044,1103.689941,1505600000,1103.689941
4/12/2002,1103.689941,1112.77002,1102.73999,1111.01001,1282100000,1111.01001
4/15/2002,1111.01001,1114.859985,1099.410034,1102.550049,1120400000,1102.550049
4/16/2002,1102.550049,1129.400024,1102.550049,1128.369995,1341300000,1128.369995
4/17/2002,1128.369995,1133,1123.369995,1126.069946,1376900000,1126.069946
4/18/2002,1126.069946,1130.48999,1109.290039,1124.469971,1359300000,1124.469971
4/19/2002,1124.469971,1128.819946,1122.589966,1125.170044,1185000000,1125.170044
4/22/2002,1125.170044,1125.170044,1105.619995,1107.829956,1181800000,1107.829956
4/23/2002,1107.829956,1111.170044,1098.939941,1100.959961,1388500000,1100.959961
4/24/2002,1100.959961,1108.459961,1092.51001,1093.140015,1373200000,1093.140015
4/25/2002,1093.140015,1094.359985,1084.810059,1091.47998,1517400000,1091.47998
4/26/2002,1091.47998,1096.77002,1076.310059,1076.319946,1374200000,1076.319946
4/29/2002,1076.319946,1078.949951,1063.619995,1065.449951,1314700000,1065.449951
4/30/2002,1065.449951,1082.619995,1063.459961,1076.920044,1628600000,1076.920044
5/1/2002,1076.920044,1088.319946,1065.290039,1086.459961,1451400000,1086.459961
5/2/2002,1086.459961,1091.420044,1079.459961,1084.560059,1364000000,1084.560059
5/3/2002,1084.560059,1084.560059,1068.890015,1073.430054,1284500000,1073.430054
5/6/2002,1073.430054,1075.959961,1052.650024,1052.670044,1122600000,1052.670044
5/7/2002,1052.670044,1058.670044,1048.959961,1049.48999,1354700000,1049.48999
5/8/2002,1049.48999,1088.920044,1049.48999,1088.849976,1502000000,1088.849976
5/9/2002,1088.849976,1088.849976,1072.22998,1073.01001,1153000000,1073.01001
5/10/2002,1073.01001,1075.430054,1053.930054,1054.98999,1171900000,1054.98999
5/13/2002,1054.98999,1074.839966,1053.900024,1074.560059,1088600000,1074.560059
5/14/2002,1074.560059,1097.709961,1074.560059,1097.280029,1414500000,1097.280029
5/15/2002,1097.280029,1104.22998,1088.939941,1091.069946,1420200000,1091.069946
5/16/2002,1091.069946,1099.290039,1089.170044,1098.22998,1256600000,1098.22998
5/17/2002,1098.22998,1106.589966,1096.77002,1106.589966,1274400000,1106.589966
5/20/2002,1106.589966,1106.589966,1090.609985,1091.880005,989800000,1091.880005
5/21/2002,1091.880005,1099.550049,1079.079956,1079.880005,1200500000,1079.880005
5/22/2002,1079.880005,1086.02002,1075.640015,1086.02002,1136300000,1086.02002
5/23/2002,1086.02002,1097.099976,1080.550049,1097.079956,1192900000,1097.079956
5/24/2002,1097.079956,1097.079956,1082.189941,1083.819946,885400000,1083.819946
5/28/2002,1083.819946,1085.97998,1070.310059,1074.550049,996500000,1074.550049
5/29/2002,1074.550049,1074.829956,1067.660034,1067.660034,1081800000,1067.660034
5/30/2002,1067.660034,1069.5,1054.26001,1064.660034,1286600000,1064.660034
5/31/2002,1064.660034,1079.930054,1064.660034,1067.140015,1277300000,1067.140015
6/3/2002,1067.140015,1070.73999,1039.900024,1040.680054,1324300000,1040.680054
6/4/2002,1040.680054,1046.060059,1030.52002,1040.689941,1466600000,1040.689941
6/5/2002,1040.689941,1050.109985,1038.839966,1049.900024,1300100000,1049.900024
6/6/2002,1049.900024,1049.900024,1026.910034,1029.150024,1601500000,1029.150024
6/7/2002,1029.150024,1033.02002,1012.48999,1027.530029,1341300000,1027.530029
6/10/2002,1027.530029,1038.180054,1025.449951,1030.73999,1226200000,1030.73999
6/11/2002,1030.73999,1039.040039,1012.940002,1013.599976,1212400000,1013.599976
6/12/2002,1013.26001,1021.849976,1002.580017,1020.26001,1795720000,1020.26001
6/13/2002,1020.26001,1023.469971,1008.119995,1009.559998,1405500000,1009.559998
6/14/2002,1009.559998,1009.559998,981.630005,1007.27002,1549000000,1007.27002
6/17/2002,1007.27002,1036.170044,1007.27002,1036.170044,1236600000,1036.170044
6/18/2002,1036.170044,1040.829956,1030.920044,1037.140015,1193100000,1037.140015
6/19/2002,1037.140015,1037.609985,1017.880005,1019.98999,1336100000,1019.98999
6/20/2002,1019.98999,1023.330017,1004.590027,1006.289978,1389700000,1006.289978
6/21/2002,1006.289978,1006.289978,985.650024,989.140015,1497200000,989.140015
6/24/2002,989.140015,1002.109985,970.849976,992.719971,1552600000,992.719971
6/25/2002,992.719971,1005.880005,974.210022,976.140015,1513700000,976.140015
6/26/2002,976.140015,977.429993,952.919983,973.530029,2014290000,973.530029
6/27/2002,973.530029,990.669983,963.73999,990.640015,1908600000,990.640015
6/28/2002,990.640015,1001.789978,988.309998,989.820007,2117000000,989.820007
7/1/2002,989.820007,994.460022,967.429993,968.650024,1425500000,968.650024
7/2/2002,968.650024,968.650024,945.539978,948.090027,1823000000,948.090027
7/3/2002,948.090027,954.299988,934.869995,953.98999,1527800000,953.98999
7/5/2002,953.98999,989.070007,953.98999,989.030029,699400000,989.030029
7/8/2002,989.030029,993.559998,972.909973,976.97998,1184400000,976.97998
