DATE,VALUE
1947-04-01,-0.1
1947-07-01,-0.1
1947-10-01,1.6
1948-01-01,1.5
1948-04-01,1.6
1948-07-01,0.6
1948-10-01,0.1
1949-01-01,-1.4
1949-04-01,-0.3
1949-07-01,1.1
1949-10-01,-0.9
1950-01-01,3.9
1950-04-01,3.0
1950-07-01,3.8
1950-10-01,1.9
1951-01-01,1.4
1951-04-01,1.7
1951-07-01,2.0
1951-10-01,0.2
1952-01-01,1.1
1952-04-01,0.2
1952-07-01,0.7
1952-10-01,3.2
1953-01-01,1.8
1953-04-01,0.8
1953-07-01,-0.6
1953-10-01,-1.5
1954-01-01,-0.5
1954-04-01,0.1
1954-07-01,1.1
1954-10-01,1.9
1955-01-01,2.8
1955-04-01,1.6
1955-07-01,1.3
1955-10-01,0.6
1956-01-01,-0.4
1956-04-01,0.8
1956-07-01,-0.1
1956-10-01,1.6
1957-01-01,0.6
1957-04-01,-0.2
1957-07-01,1.0
1957-10-01,-1.0
1958-01-01,-2.6
1958-04-01,0.7
1958-07-01,2.3
1958-10-01,2.3
1959-01-01,1.8
1959-04-01,2.4
1959-07-01,-0.2
1959-10-01,0.4
1960-01-01,2.2
1960-04-01,-0.4
1960-07-01,0.2
1960-10-01,-1.2
1961-01-01,0.7
1961-04-01,1.8
1961-07-01,1.7
1961-10-01,2.0
1962-01-01,1.8
1962-04-01,1.1
1962-07-01,0.9
1962-10-01,0.4
1963-01-01,1.1
1963-04-01,1.3
1963-07-01,1.9
1963-10-01,0.7
1964-01-01,2.1
1964-04-01,1.2
1964-07-01,1.3
1964-10-01,0.4
1965-01-01,2.4
1965-04-01,1.4
1965-07-01,2.0
1965-10-01,2.3
1966-01-01,2.4
1966-04-01,0.4
1966-07-01,0.7
1966-10-01,0.9
1967-01-01,0.9
1967-04-01,0.1
1967-07-01,0.9
1967-10-01,0.8
1968-01-01,2.0
1968-04-01,1.7
1968-07-01,0.7
1968-10-01,0.4
1969-01-01,1.5
1969-04-01,0.3
1969-07-01,0.6
1969-10-01,-0.4
1970-01-01,-0.2
1970-04-01,0.2
1970-07-01,0.9
1970-10-01,-1.0
1971-01-01,2.6
1971-04-01,0.6
1971-07-01,0.8
1971-10-01,0.3
1972-01-01,1.8
1972-04-01,2.3
1972-07-01,0.9
1972-10-01,1.6
1973-01-01,2.4
1973-04-01,1.1
1973-07-01,-0.5
1973-10-01,0.9
1974-01-01,-0.8
1974-04-01,0.3
1974-07-01,-1.0
1974-10-01,-0.4
1975-01-01,-1.2
1975-04-01,0.8
1975-07-01,1.6
1975-10-01,1.3
1976-01-01,2.2
1976-04-01,0.8
1976-07-01,0.5
1976-10-01,0.7
1977-01-01,1.2
1977-04-01,1.9
1977-07-01,1.8
1977-10-01,0.0
1978-01-01,0.3
1978-04-01,3.8
1978-07-01,1.0
1978-10-01,1.3
1979-01-01,0.2
1979-04-01,0.1
1979-07-01,0.7
1979-10-01,0.3
1980-01-01,0.3
1980-04-01,-2.0
1980-07-01,-0.2
1980-10-01,1.8
1981-01-01,2.0
1981-04-01,-0.7
1981-07-01,1.1
1981-10-01,-1.2
1982-01-01,-1.7
1982-04-01,0.5
1982-07-01,-0.4
1982-10-01,0.1
1983-01-01,1.3
1983-04-01,2.3
1983-07-01,1.9
1983-10-01,2.0
1984-01-01,2.0
1984-04-01,1.7
1984-07-01,1.0
1984-10-01,0.8
1985-01-01,1.0
1985-04-01,0.9
1985-07-01,1.5
1985-10-01,0.7
1986-01-01,0.9
1986-04-01,0.5
1986-07-01,1.0
1986-10-01,0.5
1987-01-01,0.7
1987-04-01,1.1
1987-07-01,0.9
1987-10-01,1.6
1988-01-01,0.6
1988-04-01,1.3
1988-07-01,0.6
1988-10-01,1.3
1989-01-01,1.0
1989-04-01,0.8
1989-07-01,0.7
1989-10-01,0.2
1990-01-01,1.1
1990-04-01,0.4
1990-07-01,0.0
1990-10-01,-0.9
1991-01-01,-0.5
1991-04-01,0.8
1991-07-01,0.5
1991-10-01,0.4
1992-01-01,1.2
1992-04-01,1.1
1992-07-01,1.0
1992-10-01,1.0
1993-01-01,0.2
1993-04-01,0.6
1993-07-01,0.5
1993-10-01,1.3
1994-01-01,1.0
1994-04-01,1.4
1994-07-01,0.6
1994-10-01,1.1
1995-01-01,0.3
1995-04-01,0.3
1995-07-01,0.9
1995-10-01,0.7
1996-01-01,0.7
1996-04-01,1.7
1996-07-01,0.9
1996-10-01,1.1
1997-01-01,0.8
1997-04-01,1.5
1997-07-01,1.3
1997-10-01,0.8
